campaign_id,click_rate
1889,0.02997009454040714
1890,0.5852056277056276
1891,0.1468971152101703
1892,0.14391195424729228
1893,0.14672589561816088
1894,0.03618953253325023
1895,0.006884131764453699
1896,0.006845686137393933
1897,0.03063469781918038
1898,0.033888752858086395
1899,0.02937611711080574
1900,0.05480976430913496
1901,0.009203694976920515
1902,0.07864927520876262
1903,0.016260592118933177
1904,0.011267538091414515
1905,0.011267538091414515
1906,0.006217801073837579
1907,0.05327090355294006
1908,0.06004602996885335
1909,0.036395653249234286
1910,0.020806956252086124
1911,0.007053099773345149
1912,0.006547969621184806
1913,0.019091545384507944
1914,0.01993400039998807
1915,0.052388255005228535
1916,0.009918185806620317
1917,0.10574759188060676
1918,0.007720719617329159
1919,0.007190617597185994
1920,0.03604932507056564
1921,0.009335696665327868
1922,0.16215698843576354
1923,0.030360957163470603
1924,0.062430169137139446
1925,0.01855102627073907
1926,0.007289966324605032
1927,0.006009482099433029
1928,0.029116570017748512
1929,0.011345442840623438
1930,0.02225580288718073
1931,0.00718443629194582
1932,0.0382808181321739
1933,0.07006512995073978
1934,0.0068267353617425
1935,0.0448883768137224
1936,0.020115771266405413
1937,0.016617561849302187
1938,0.008767735715644518
1939,0.02169868711819859
1940,0.016497072744844958
1941,0.009362832672968193
1942,0.008229227304142335
1943,0.012649151561489432
1944,0.012826960052031997
1945,0.006290849406306899
1946,0.00653256189237224
1947,0.006634068480569426
1948,0.005570396274847804
1949,0.1042792544533365
1950,0.0053565631424242685
1951,0.00871028359356277
1952,0.006948784487874936
1953,0.005990487229097098
1954,0.024396416158119084
1955,0.0076875151605442504
1956,0.07378825528653035
1957,0.023259672787816894
1958,0.06802876627437723
1959,0.01004342123459508
1960,0.14861027230325058
1961,0.018200193050450644
1962,0.014957883487625692
1963,0.08352671960928572
1964,0.07719641227178882
1965,0.012844604281430323
1966,0.06323040927038379
1967,0.012396582663619447
1968,0.06662230671008064
1969,0.01751151357593774
1970,0.013111983794520199
1971,0.06260293920417456
1972,0.008178261031551337
1973,0.015824660717216835
